"ì˙éû","âÔàıID","ÉâÅ[ÉÅÉì","ë÷Ç¶ã ","ë÷Ç¶ì˜","ÉrÅ[Éã","çdÇ≥","ëÿç›éûä‘"
2017-02-13 11:17:00,1303,1,1,0,0,"çd",14
2017-02-13 12:53:00,4287,1,0,0,0,"ÉoÉäçd",13
2017-02-13 12:05:00,81,1,2,0,0,"çd",6
2017-02-13 12:06:00,748,1,1,1,0,"çd",15
2017-02-13 11:06:00,660,1,1,0,0,"ÉoÉäçd",15
2017-02-13 12:43:00,781,1,0,0,0,"çd",20
2017-02-13 12:31:00,2068,1,0,0,0,"ÉoÉäçd",12
2017-02-13 11:03:00,3836,1,0,0,0,"ÉoÉäçd",14
2017-02-13 11:47:00,230,1,0,0,1,"ÉoÉäçd",13
2017-02-13 10:13:00,4548,1,1,0,0,"ÉoÉäçd",20
2017-02-13 12:12:00,297,1,0,1,0,"ÉoÉäçd",8
2017-02-13 14:03:00,3010,1,1,0,0,"ÉoÉäçd",9
2017-02-13 12:45:00,60,1,1,0,0,"ÉoÉäçd",18
2017-02-13 12:11:00,502,1,0,1,0,"çd",19
2017-02-13 12:44:00,4017,1,0,0,0,"çd",13
2017-02-13 11:06:00,3792,1,0,0,0,"çd",18
2017-02-13 11:06:00,2734,1,1,0,0,"ÉoÉäçd",15
2017-02-13 12:01:00,1116,1,1,0,0,"ÉoÉäçd",6
2017-02-13 11:34:00,3746,1,0,0,0,"çd",19
2017-02-13 12:09:00,907,1,1,1,0,"çd",7
2017-02-13 14:55:00,800,1,0,0,0,"çd",12
2017-02-13 12:56:00,2857,1,0,0,0,"çd",9
2017-02-13 12:10:00,3895,1,0,0,1,"çd",12
2017-02-13 14:01:00,9,1,0,0,0,"ÉoÉäçd",18
2017-02-13 11:06:00,3219,1,1,0,0,"ÉoÉäçd",14
2017-02-13 12:09:00,2263,1,2,0,0,"çd",9
2017-02-13 11:41:00,3393,1,1,0,0,"ÉoÉäçd",6
2017-02-13 12:02:00,3095,1,0,0,0,"ÉoÉäçd",13
2017-02-13 11:21:00,4426,1,1,0,0,"ÉoÉäçd",18
2017-02-13 14:52:00,4969,1,1,0,0,"ÉoÉäçd",17
2017-02-13 10:18:00,4543,1,1,0,0,"çd",15
2017-02-13 13:17:00,951,1,0,0,0,"ÉoÉäçd",9
2017-02-13 13:52:00,1933,1,1,0,0,"çd",8
2017-02-13 14:51:00,2512,1,0,0,0,"çd",6
2017-02-13 11:28:00,10,1,1,0,0,"ÉoÉäçd",14
2017-02-13 10:11:00,4830,1,1,0,0,"ÉoÉäçd",14
2017-02-13 11:15:00,800,1,1,0,0,"ÉoÉäçd",7
2017-02-13 11:25:00,2333,1,0,0,0,"ÉoÉäçd",13
2017-02-13 12:06:00,843,1,0,0,0,"ÉoÉäçd",9
2017-02-13 11:21:00,98,1,1,0,1,"ÉoÉäçd",16
2017-02-13 11:26:00,179,1,1,0,0,"ÉoÉäçd",19
2017-02-13 11:37:00,4973,1,1,0,0,"çd",8
2017-02-13 13:18:00,992,1,1,1,0,"ÉoÉäçd",18
2017-02-13 14:33:00,2571,1,1,0,0,"ÉoÉäçd",10
2017-02-13 12:50:00,2645,1,3,0,0,"ÉoÉäçd",19
2017-02-13 12:25:00,1649,1,0,0,0,"çd",18
2017-02-13 12:06:00,3338,1,0,0,0,"ÉoÉäçd",15
2017-02-13 12:40:00,3195,1,1,1,0,"çd",16
2017-02-13 12:38:00,2162,1,0,1,0,"çd",17
2017-02-13 11:19:00,4133,1,1,1,0,"çd",12
2017-02-14 12:33:00,591,1,0,0,1,"ÉoÉäçd",18
2017-02-14 11:53:00,610,1,2,1,0,"çd",13
2017-02-14 11:50:00,2403,1,1,0,0,"çd",19
2017-02-14 12:28:00,3545,1,1,0,0,"ÉoÉäçd",7
2017-02-14 12:50:00,2037,1,0,0,0,"ÉoÉäçd",15
2017-02-14 11:32:00,3007,1,0,0,0,"çd",13
2017-02-14 11:26:00,3187,1,1,0,0,"ÉoÉäçd",8
2017-02-14 10:31:00,3076,1,0,0,0,"ÉoÉäçd",10
2017-02-14 11:50:00,3598,1,0,0,0,"ÉoÉäçd",7
2017-02-14 11:58:00,2347,1,0,0,0,"çd",18
2017-02-14 11:33:00,3641,1,0,0,0,"ÉoÉäçd",18
2017-02-14 12:36:00,2997,1,1,0,0,"çd",15
2017-02-14 11:48:00,3914,1,1,0,0,"ÉoÉäçd",14
2017-02-14 13:01:00,1216,1,0,0,1,"ÉoÉäçd",8
2017-02-14 13:52:00,361,1,1,0,0,"ÉoÉäçd",17
2017-02-14 12:36:00,3189,1,0,0,0,"ÉoÉäçd",17
2017-02-14 11:39:00,1424,1,2,0,0,"ÉoÉäçd",13
2017-02-14 14:05:00,1713,1,0,0,1,"ÉoÉäçd",13
2017-02-14 12:26:00,610,1,1,0,0,"ÉoÉäçd",17
2017-02-14 11:19:00,249,1,1,0,0,"ÉoÉäçd",13
2017-02-14 11:48:00,1100,1,1,0,1,"çd",18
2017-02-14 12:10:00,596,1,0,0,1,"çd",8
2017-02-14 12:39:00,2649,1,2,0,1,"çd",8
2017-02-14 13:37:00,873,1,0,0,0,"ÉoÉäçd",19
2017-02-14 12:12:00,3770,1,0,0,0,"ÉoÉäçd",14
2017-02-14 13:31:00,2789,1,2,0,0,"ÉoÉäçd",7
2017-02-14 11:20:00,4525,1,1,0,0,"çd",20
2017-02-14 11:20:00,1000,1,1,0,0,"ÉoÉäçd",19
2017-02-14 13:51:00,3092,1,2,0,0,"çd",18
2017-02-14 12:58:00,2490,1,2,1,1,"ÉoÉäçd",14
2017-02-14 12:44:00,3956,1,2,0,0,"ÉoÉäçd",16
2017-02-14 10:23:00,1402,1,0,0,1,"çd",9
2017-02-14 11:40:00,1866,1,0,0,0,"ÉoÉäçd",12
2017-02-14 14:33:00,4382,1,1,0,0,"çd",10
2017-02-14 12:43:00,1633,1,1,0,0,"ÉoÉäçd",16
2017-02-14 12:45:00,2464,1,0,0,0,"ÉoÉäçd",19
2017-02-14 12:14:00,4468,1,1,0,0,"ÉoÉäçd",16
2017-02-14 13:32:00,601,1,1,0,0,"ÉoÉäçd",13
2017-02-14 12:01:00,3367,1,0,0,0,"ïÅí ",9
2017-02-14 13:20:00,1578,1,1,0,0,"ÉoÉäçd",14
2017-02-14 13:09:00,1892,1,1,0,1,"ÉoÉäçd",15
2017-02-14 11:24:00,1239,1,0,0,1,"ÉoÉäçd",12
2017-02-14 12:42:00,4227,1,2,0,0,"ÉoÉäçd",15
2017-02-14 11:02:00,3330,1,1,0,0,"çd",11
2017-02-14 11:01:00,871,1,1,0,0,"ÉoÉäçd",16
2017-02-14 11:31:00,3769,1,1,0,0,"ÉoÉäçd",12
2017-02-14 13:11:00,1500,1,1,0,0,"ÉoÉäçd",19
2017-02-14 12:45:00,4163,1,1,0,0,"ïÅí ",18
2017-02-14 13:13:00,4715,1,0,1,0,"ÉoÉäçd",6
2017-02-14 13:58:00,3699,1,0,1,0,"ÉoÉäçd",19
2017-02-14 13:57:00,2327,1,1,0,0,"çd",12
2017-02-14 14:12:00,2520,1,0,0,0,"çd",7
2017-02-14 13:38:00,3569,1,1,0,0,"ÉoÉäçd",16
2017-02-14 13:40:00,1804,1,0,0,0,"ÉoÉäçd",6
2017-02-14 12:28:00,584,1,0,0,0,"ÉoÉäçd",13
2017-02-14 09:30:00,762,1,0,0,0,"ÉoÉäçd",13
2017-02-14 10:39:00,4192,1,1,0,0,"ÉoÉäçd",11
2017-02-14 12:38:00,4739,1,0,0,0,"çd",12
2017-02-14 11:33:00,1332,1,1,0,0,"ÉoÉäçd",13
2017-02-14 14:39:00,988,1,1,0,0,"çd",14
2017-02-14 13:57:00,3138,1,1,0,0,"ÉoÉäçd",12
2017-02-14 12:56:00,932,1,1,0,0,"ÉoÉäçd",10
2017-02-14 12:21:00,2322,1,0,0,0,"ÉoÉäçd",8
2017-02-14 12:34:00,580,1,1,0,0,"ÉoÉäçd",8
2017-02-14 10:40:00,364,1,0,0,0,"çd",8
2017-02-14 12:25:00,2470,1,1,0,0,"ÉoÉäçd",13
2017-02-14 14:24:00,849,1,1,0,0,"çd",15
2017-02-14 14:15:00,2027,1,1,0,0,"ÉoÉäçd",14
2017-02-14 11:16:00,728,1,0,0,0,"ÉoÉäçd",7
2017-02-14 10:38:00,2116,1,1,0,0,"çd",17
2017-02-14 12:51:00,1495,1,2,0,0,"ÉoÉäçd",16
2017-02-14 13:02:00,4173,1,1,0,0,"çd",12
2017-02-14 13:07:00,707,1,2,0,0,"çd",17
2017-02-14 14:46:00,207,1,1,0,0,"çd",13
2017-02-14 12:08:00,2784,1,1,0,0,"ÉoÉäçd",7
2017-02-14 12:12:00,3902,1,0,0,0,"ÉoÉäçd",18
2017-02-14 11:45:00,3772,1,0,0,0,"ÉoÉäçd",6
2017-02-14 12:24:00,954,1,0,0,0,"ÉoÉäçd",13
2017-02-14 13:27:00,2797,1,0,0,0,"ÉoÉäçd",10
2017-02-14 12:16:00,2868,1,0,0,0,"ïÅí ",16
2017-02-14 12:44:00,3269,1,0,0,0,"ÉoÉäçd",19
2017-02-14 12:56:00,4980,1,1,0,0,"ÉoÉäçd",19
2017-02-14 11:16:00,2363,1,1,0,0,"çd",16
2017-02-14 11:46:00,1612,1,0,0,1,"ÉoÉäçd",17
2017-02-14 11:21:00,1012,1,0,0,0,"ÉoÉäçd",20
2017-02-14 13:18:00,4098,1,1,0,0,"ïÅí ",19
2017-02-14 10:58:00,751,1,1,0,0,"ÉoÉäçd",6
2017-02-14 15:57:00,1614,1,0,0,0,"ÉoÉäçd",11
2017-02-14 11:02:00,4942,1,1,1,0,"çd",13
2017-02-14 13:09:00,4982,1,0,0,0,"çd",10
2017-02-14 11:02:00,11,1,1,0,0,"ÉoÉäçd",11
2017-02-14 11:01:00,1413,1,1,0,0,"ÉoÉäçd",11
2017-02-14 14:26:00,2938,1,1,0,1,"ÉoÉäçd",10
2017-02-14 13:15:00,3355,1,1,0,1,"ÉoÉäçd",12
2017-02-14 11:35:00,1434,1,0,0,0,"ÉoÉäçd",8
2017-02-14 13:36:00,3943,1,1,0,0,"ÉoÉäçd",9
2017-02-15 12:47:00,4635,1,0,1,0,"ÉoÉäçd",14
2017-02-15 11:34:00,2177,1,1,0,0,"ÉoÉäçd",10
2017-02-15 11:59:00,4052,1,0,0,0,"ÉoÉäçd",10
2017-02-15 13:49:00,3500,1,1,0,0,"ÉoÉäçd",20
2017-02-15 11:17:00,25,1,0,0,0,"ÉoÉäçd",18
2017-02-15 13:06:00,428,1,0,0,0,"çd",13
2017-02-15 12:39:00,2298,1,1,0,0,"çd",15
2017-02-15 13:39:00,1044,1,1,1,0,"ÉoÉäçd",6
2017-02-15 11:46:00,640,1,1,0,1,"çd",15
2017-02-15 12:47:00,51,1,1,0,0,"ÉoÉäçd",15
2017-02-15 11:44:00,4561,1,1,1,0,"ÉoÉäçd",9
2017-02-15 09:06:00,641,1,0,0,0,"ÉoÉäçd",19
2017-02-15 13:35:00,1781,1,0,0,0,"ÉoÉäçd",13
2017-02-15 09:43:00,827,1,0,0,0,"çd",13
2017-02-15 12:10:00,4285,1,0,0,0,"çd",11
2017-02-15 11:14:00,3512,1,0,1,0,"ïÅí ",17
2017-02-15 12:05:00,1567,1,1,0,0,"ÉoÉäçd",15
2017-02-15 13:47:00,811,1,0,0,0,"ïÅí ",15
2017-02-15 13:51:00,3890,1,1,0,0,"ÉoÉäçd",15
2017-02-15 13:33:00,23,1,1,0,0,"ÉoÉäçd",6
2017-02-15 12:36:00,2286,1,0,0,0,"ÉoÉäçd",7
2017-02-15 13:07:00,2629,1,1,1,0,"ÉoÉäçd",9
2017-02-15 12:30:00,2302,1,0,0,0,"ÉoÉäçd",6
2017-02-15 13:49:00,4985,1,0,0,0,"ÉoÉäçd",18
2017-02-15 10:52:00,3565,1,0,0,0,"ÉoÉäçd",8
2017-02-15 12:32:00,3065,1,0,0,0,"ÉoÉäçd",19
2017-02-15 11:19:00,2431,1,0,0,0,"çd",7
2017-02-15 12:48:00,1727,1,0,0,0,"ÉoÉäçd",17
2017-02-15 11:24:00,2142,1,1,0,0,"ÉoÉäçd",17
2017-02-15 13:12:00,4005,1,1,0,0,"ÉoÉäçd",9
2017-02-15 11:41:00,3874,1,0,0,1,"ÉoÉäçd",15
2017-02-15 11:03:00,1057,1,0,0,0,"ÉoÉäçd",8
2017-02-15 11:03:00,3693,1,2,0,0,"ÉoÉäçd",8
2017-02-15 11:24:00,179,1,0,0,0,"ÉoÉäçd",16
2017-02-15 12:13:00,1416,1,1,0,0,"ÉoÉäçd",20
2017-02-15 12:13:00,4306,1,0,1,0,"ïÅí ",7
2017-02-15 12:51:00,2503,1,0,1,0,"ÉoÉäçd",6
2017-02-15 11:04:00,4113,1,2,0,0,"ÉoÉäçd",12
2017-02-15 12:51:00,1445,1,0,0,0,"ÉoÉäçd",9
2017-02-15 12:45:00,3547,1,1,0,0,"çd",20
2017-02-15 12:13:00,973,1,1,0,0,"çd",8
2017-02-15 12:35:00,4977,1,0,0,0,"çd",9
2017-02-15 12:22:00,4157,1,1,0,0,"ÉoÉäçd",9
2017-02-15 10:16:00,23,1,0,0,0,"çd",12
2017-02-15 10:23:00,2554,1,0,0,0,"çd",16
2017-02-15 11:55:00,2316,1,0,0,1,"ÉoÉäçd",6
2017-02-15 13:49:00,2684,1,1,0,0,"çd",18
2017-02-15 13:34:00,2026,1,2,0,0,"ÉoÉäçd",11
2017-02-15 12:56:00,2099,1,1,0,0,"ÉoÉäçd",17
2017-02-15 12:03:00,3579,1,0,0,0,"çd",10
2017-02-15 13:58:00,4233,1,1,0,0,"çd",18
2017-02-15 11:55:00,2048,1,1,0,0,"ÉoÉäçd",16
2017-02-15 12:45:00,4685,1,0,0,0,"çd",18
2017-02-15 11:06:00,4151,1,0,0,0,"ÉoÉäçd",11
2017-02-15 10:51:00,2518,1,1,0,0,"ÉoÉäçd",17
2017-02-15 13:44:00,3419,1,1,0,0,"ÉoÉäçd",6
2017-02-15 11:29:00,4976,1,1,0,0,"ÉoÉäçd",6
2017-02-15 11:44:00,2732,1,2,0,0,"çd",12
2017-02-15 12:39:00,1899,1,1,0,0,"çd",10
2017-02-15 12:10:00,2119,1,1,0,0,"ÉoÉäçd",14
2017-02-15 14:28:00,4144,1,1,0,0,"ÉoÉäçd",9
2017-02-15 10:50:00,891,1,0,0,1,"ÉoÉäçd",17
2017-02-15 11:40:00,1618,1,1,0,0,"çd",15
2017-02-15 12:31:00,251,1,1,0,0,"ÉoÉäçd",8
2017-02-15 13:35:00,4967,1,2,0,0,"ÉoÉäçd",8
2017-02-15 11:10:00,4682,1,1,0,0,"ÉoÉäçd",11
2017-02-15 11:34:00,3925,1,0,0,0,"ÉoÉäçd",12
2017-02-15 11:45:00,4479,1,1,0,0,"ÉoÉäçd",11
2017-02-15 10:51:00,4760,1,1,0,0,"ÉoÉäçd",6
2017-02-15 12:29:00,4532,1,1,0,0,"ÉoÉäçd",17
2017-02-15 11:12:00,4604,1,0,0,0,"ÉoÉäçd",18
2017-02-15 10:21:00,279,1,2,0,0,"çd",7
2017-02-15 12:34:00,4268,1,0,0,1,"çd",16
2017-02-15 11:56:00,913,1,0,0,0,"ÉoÉäçd",12
2017-02-15 12:11:00,865,1,2,0,0,"ÉoÉäçd",16
2017-02-16 13:46:00,404,1,0,0,0,"ÉoÉäçd",12
2017-02-16 10:27:00,2929,1,0,0,0,"çd",14
2017-02-16 12:53:00,2191,1,1,0,0,"ïÅí ",8
2017-02-16 11:14:00,1211,1,0,0,0,"çd",10
2017-02-16 11:59:00,4829,1,1,0,0,"çd",20
2017-02-16 12:37:00,549,1,1,0,0,"çd",12
2017-02-16 10:43:00,2040,1,1,0,0,"çd",19
2017-02-16 11:44:00,1554,1,0,0,0,"ÉoÉäçd",10
2017-02-16 13:14:00,4227,1,0,1,1,"ÉoÉäçd",19
2017-02-16 13:02:00,2610,1,0,0,0,"ÉoÉäçd",10
2017-02-16 12:31:00,3264,1,0,0,0,"ÉoÉäçd",13
2017-02-16 12:33:00,3399,1,1,0,0,"çd",18
2017-02-16 11:16:00,2927,1,1,0,0,"ÉoÉäçd",16
2017-02-16 13:42:00,3462,1,0,0,0,"ÉoÉäçd",19
2017-02-16 12:27:00,3697,1,1,0,0,"ÉoÉäçd",20
2017-02-16 11:46:00,3863,1,1,0,0,"ÉoÉäçd",10
2017-02-16 12:08:00,29,1,0,0,0,"çd",11
2017-02-16 15:22:00,1589,1,0,0,0,"çd",18
2017-02-16 13:12:00,1078,1,1,0,0,"ÉoÉäçd",9
2017-02-16 12:27:00,4002,1,0,0,0,"çd",12
2017-02-16 13:14:00,4883,1,1,0,0,"ÉoÉäçd",7
2017-02-16 13:23:00,4425,1,0,0,0,"ÉoÉäçd",17
2017-02-16 12:03:00,879,1,1,0,0,"çd",9
2017-02-16 11:14:00,4719,1,1,1,0,"ÉoÉäçd",20
2017-02-16 12:31:00,4826,1,1,0,0,"ÉoÉäçd",9
2017-02-16 11:10:00,2615,1,1,1,0,"ÉoÉäçd",10
2017-02-16 12:27:00,1059,1,0,0,0,"ÉoÉäçd",17
2017-02-16 11:25:00,4590,1,0,0,0,"ÉoÉäçd",8
2017-02-16 13:02:00,4822,1,1,0,0,"çd",17
2017-02-16 12:46:00,3364,1,0,0,0,"ÉoÉäçd",20
2017-02-16 12:29:00,117,1,0,0,0,"ÉoÉäçd",6
2017-02-16 12:53:00,349,1,1,0,1,"ÉoÉäçd",14
2017-02-16 12:58:00,3069,1,0,0,0,"ÉoÉäçd",11
2017-02-16 12:07:00,963,1,0,0,0,"çd",17
2017-02-16 11:47:00,704,1,0,1,0,"ÉoÉäçd",19
2017-02-16 12:26:00,2561,1,1,0,0,"ÉoÉäçd",15
2017-02-16 12:37:00,1695,1,0,1,0,"ÉoÉäçd",16
2017-02-16 13:54:00,1784,1,1,0,0,"ÉoÉäçd",9
2017-02-16 11:28:00,3682,1,1,0,1,"ÉoÉäçd",13
2017-02-16 11:43:00,1507,1,0,0,0,"ÉoÉäçd",18
2017-02-16 14:45:00,1146,1,0,0,0,"ÉoÉäçd",17
2017-02-16 12:34:00,2329,1,0,0,0,"çd",6
2017-02-16 11:43:00,2846,1,1,1,0,"ÉoÉäçd",11
2017-02-16 12:37:00,1612,1,1,0,0,"çd",13
2017-02-16 12:29:00,3746,1,1,0,0,"ÉoÉäçd",13
2017-02-16 11:02:00,2100,1,2,0,0,"ÉoÉäçd",15
2017-02-16 13:12:00,43,1,1,0,0,"ÉoÉäçd",7
2017-02-16 12:48:00,3538,1,0,1,0,"ÉoÉäçd",15
2017-02-16 12:02:00,3677,1,1,0,0,"ÉoÉäçd",16
2017-02-16 12:25:00,832,1,0,0,0,"ÉoÉäçd",20
2017-02-16 11:24:00,1686,1,1,0,1,"çd",12
2017-02-16 12:32:00,218,1,2,0,0,"ÉoÉäçd",19
2017-02-16 10:57:00,4666,1,2,0,0,"ÉoÉäçd",11
2017-02-16 13:45:00,1034,1,1,0,0,"ÉoÉäçd",14
2017-02-16 12:46:00,2718,1,0,0,0,"ÉoÉäçd",16
2017-02-16 10:05:00,4104,1,1,0,0,"çd",12
2017-02-16 14:08:00,1798,1,0,0,1,"ÉoÉäçd",19
2017-02-16 11:14:00,1611,1,1,0,0,"çd",8
2017-02-16 13:23:00,1277,1,0,0,0,"ÉoÉäçd",10
2017-02-16 12:20:00,4676,1,1,0,0,"ÉoÉäçd",17
2017-02-16 13:06:00,796,1,1,0,0,"çd",7
2017-02-16 11:02:00,2251,1,1,1,1,"ÉoÉäçd",18
2017-02-16 13:17:00,4190,1,0,0,0,"çd",10
2017-02-16 12:33:00,2319,1,0,0,0,"ÉoÉäçd",7
2017-02-16 12:01:00,3538,1,0,0,0,"çd",18
2017-02-16 12:14:00,2693,1,0,0,0,"ÉoÉäçd",19
2017-02-16 13:10:00,2788,1,0,0,0,"ÉoÉäçd",20
2017-02-16 12:07:00,2604,1,0,0,0,"çd",9
2017-02-16 10:12:00,1129,1,2,0,0,"ÉoÉäçd",18
2017-02-16 11:58:00,1879,1,1,0,0,"ÉoÉäçd",10
2017-02-16 11:47:00,3817,1,1,0,0,"ÉoÉäçd",12
2017-02-16 12:48:00,3075,1,1,0,1,"ÉoÉäçd",18
2017-02-16 13:47:00,275,1,0,0,0,"ÉoÉäçd",7
2017-02-16 11:47:00,2206,1,1,0,1,"çd",11
2017-02-16 11:57:00,4101,1,2,0,0,"ÉoÉäçd",16
2017-02-16 11:06:00,4640,1,0,0,0,"ÉoÉäçd",6
2017-02-16 11:41:00,2289,1,1,1,0,"ÉoÉäçd",10
2017-02-16 12:29:00,4109,1,1,1,0,"ïÅí ",18
2017-02-16 12:31:00,1470,1,1,1,0,"ÉoÉäçd",8
2017-02-16 13:30:00,3712,1,1,1,0,"çd",15
2017-02-16 11:38:00,463,1,1,0,0,"çd",20
2017-02-16 15:10:00,4982,1,1,0,0,"ÉoÉäçd",17
2017-02-16 11:01:00,690,1,0,0,0,"çd",18
2017-02-16 12:02:00,3567,1,1,0,0,"ÉoÉäçd",20
2017-02-16 12:59:00,1132,1,1,0,1,"ÉoÉäçd",20
2017-02-16 12:17:00,2128,1,1,0,0,"ÉoÉäçd",20
2017-02-16 12:22:00,4462,1,1,0,0,"çd",15
2017-02-16 12:19:00,1049,1,2,0,0,"çd",18
2017-02-16 12:27:00,2871,1,2,1,0,"ÉoÉäçd",7
2017-02-16 12:32:00,1313,1,1,0,0,"ÉoÉäçd",11
2017-02-16 13:43:00,2857,1,1,0,0,"ÉoÉäçd",6
2017-02-16 12:15:00,1912,1,0,0,0,"ÉoÉäçd",12
2017-02-16 14:51:00,4433,1,1,0,0,"ÉoÉäçd",16
2017-02-16 10:40:00,2074,1,0,0,0,"ÉoÉäçd",19
2017-02-16 13:15:00,728,1,0,0,0,"ÉoÉäçd",18
2017-02-16 11:46:00,322,1,1,0,0,"ÉoÉäçd",14
2017-02-16 12:47:00,1547,1,1,0,0,"ÉoÉäçd",14
2017-02-16 12:24:00,501,1,2,0,0,"ÉoÉäçd",15
2017-02-16 13:21:00,209,1,1,0,0,"ÉoÉäçd",7
2017-02-16 12:44:00,918,1,0,0,0,"ÉoÉäçd",13
2017-02-16 14:48:00,164,1,0,0,0,"ÉoÉäçd",7
2017-02-17 10:41:00,186,1,1,0,0,"çd",20
2017-02-17 11:56:00,3297,1,1,0,0,"çd",17
2017-02-17 11:06:00,3945,1,2,1,1,"çd",20
2017-02-17 11:55:00,1822,1,1,0,1,"ÉoÉäçd",19
2017-02-17 12:32:00,3406,1,0,0,1,"ÉoÉäçd",16
2017-02-17 12:18:00,4700,1,2,0,0,"ÉoÉäçd",17
2017-02-17 13:13:00,2188,1,2,0,0,"ÉoÉäçd",19
2017-02-17 12:40:00,1579,1,1,0,0,"ÉoÉäçd",14
2017-02-17 11:02:00,4016,1,0,0,1,"ÉoÉäçd",11
2017-02-17 10:47:00,831,1,1,0,1,"ÉoÉäçd",7
2017-02-17 12:54:00,4413,1,0,0,0,"ÉoÉäçd",10
2017-02-17 13:11:00,4129,1,2,0,0,"ÉoÉäçd",19
2017-02-17 12:17:00,1328,1,0,0,0,"ÉoÉäçd",14
2017-02-17 11:13:00,77,1,1,1,0,"çd",16
2017-02-17 12:43:00,1515,1,0,0,0,"çd",14
2017-02-17 10:19:00,4420,1,0,0,0,"ÉoÉäçd",9
2017-02-17 13:15:00,2324,1,2,0,0,"ÉoÉäçd",15
2017-02-17 14:19:00,2410,1,2,0,0,"çd",17
2017-02-17 13:55:00,3848,1,0,0,0,"ÉoÉäçd",10
2017-02-17 11:02:00,2463,1,1,0,0,"ÉoÉäçd",19
2017-02-17 11:39:00,805,1,1,0,0,"ÉoÉäçd",16
2017-02-17 12:36:00,2346,1,1,0,0,"çd",20
2017-02-17 11:26:00,2373,1,1,0,0,"ÉoÉäçd",19
2017-02-17 11:59:00,3080,1,1,0,0,"çd",8
2017-02-17 11:59:00,3469,1,1,0,0,"çd",19
2017-02-17 13:34:00,2192,1,0,0,0,"çd",13
2017-02-17 11:51:00,2268,1,0,0,0,"ÉoÉäçd",17
2017-02-17 12:04:00,2972,1,1,0,0,"çd",8
2017-02-17 09:38:00,1334,1,2,0,1,"ÉoÉäçd",16
2017-02-17 12:19:00,77,1,0,0,0,"ÉoÉäçd",10
2017-02-17 11:17:00,4368,1,0,0,1,"çd",10
2017-02-17 11:49:00,2706,1,0,0,0,"çd",14
2017-02-17 13:21:00,402,1,0,0,0,"ÉoÉäçd",8
2017-02-17 12:42:00,3576,1,1,0,0,"ÉoÉäçd",9
2017-02-17 12:32:00,1176,1,0,0,0,"ÉoÉäçd",9
2017-02-17 12:38:00,2947,1,1,0,0,"çd",6
2017-02-17 13:13:00,1099,1,0,0,0,"ïÅí ",15
2017-02-17 13:13:00,2264,1,1,1,0,"ÉoÉäçd",14
2017-02-17 13:13:00,2495,1,0,0,0,"ÉoÉäçd",14
2017-02-17 11:36:00,1828,1,1,0,0,"çd",19
2017-02-17 13:01:00,2648,1,1,0,0,"ÉoÉäçd",12
2017-02-17 14:17:00,2220,1,1,0,0,"çd",9
